4040,-7556,13324,-2977,-9855,-394
4236,-7820,12856,-2735,-9509,-485
4176,-7952,12612,-2269,-9518,-485
4804,-8104,12376,-1797,-9426,-726
5544,-7424,12240,-863,-10290,-1004
5844,-8024,11648,302,-10516,-1294
6972,-7464,11756,553,-8654,-1607
7140,-7640,11268,1043,-8556,-2036
7832,-8472,10676,2462,-10123,-2026
8664,-8032,11080,3397,-10218,-1908
9296,-7604,11112,4518,-10197,-2297
9740,-7560,10716,6229,-9844,-2843
10424,-6936,10780,7027,-8507,-3094
10628,-6492,9912,7573,-7142,-3070
10848,-5600,9764,8000,-6527,-3201
11436,-5004,9492,8237,-5832,-3608
11732,-4400,9584,8254,-4075,-4040
12116,-3760,9824,8789,-2238,-4419
12316,-3696,9988,9193,-852,-4519
12532,-2064,10124,9559,-154,-4443
13844,-712,11772,9766,294,-4898
12724,-1072,10012,10800,-578,-4739
11952,-244,10344,11255,724,-4305
12596,680,10324,11499,2767,-4595
12108,1732,9396,11173,5122,-4638
11028,2520,9144,10878,7082,-4926
10572,3028,9268,9342,8237,-4852
9904,4328,10924,9295,10831,-4940
10184,5048,11368,7783,13130,-4865
8392,5680,11764,6593,13699,-4723
7516,5904,10972,4941,12592,-4498
7052,6352,12444,4517,12437,-4312
7040,7028,13196,3201,12726,-4184
5440,7096,12548,1417,12588,-4498
4668,7216,13048,77,13207,-4828
3832,6880,12992,-1683,12461,-4873
2236,6876,12740,-2645,10663,-4803
928,6348,13012,-4133,8253,-4839
360,5900,13152,-5254,6084,-4480
300,5800,13752,-5968,5503,-4062
-376,5208,13704,-6949,5481,-3737
-1084,5092,14360,-7444,4813,-3115
-1456,4764,14660,-8210,3618,-2447
-1532,4184,14524,-9002,2261,-1968
-1408,3932,14860,-10703,1729,-1931
-1512,2652,15128,-12462,1469,-1515
-1632,1584,15388,-13962,956,-1142
-2128,692,15024,-15428,670,-1341
-2244,-248,15192,-15609,422,-1184
-1804,-1528,15252,-15690,-129,-1317
-2428,-2504,14552,-15415,-647,-1612
-1872,-3724,14784,-15196,-1888,-1674
-2132,-5180,14324,-14090,-5176,-1471
-1152,-5392,13800,-13190,-7748,-1325
-540,-6764,14540,-11684,-7562,-997
-212,-6808,13936,-9397,-8368,-781
340,-7560,13480,-8057,-9258,-785
608,-7964,13632,-5944,-13095,-1089
1508,-8064,13316,-4392,-16066,-1504
2564,-8608,12728,-3551,-16125,-1588
3992,-8596,13032,-2373,-15378,-1675
4784,-8668,11860,-971,-14484,-1665
5468,-9236,11144,585,-14173,-1621
6640,-8528,10972,2927,-12961,-1849
6744,-8560,10876,4084,-12103,-1956
7688,-8580,10120,5206,-12493,-1989
